time_range,day_of_week,month,mode_of_transport,geohash,direction
12-15,THURSDAY,8,ON_BICYCLE,u0m5tnrd,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5ugfs,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhc3u,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uu72,SOUTH_WEST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhc4n,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhj18n,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhc44,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uzk4,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhj1cm,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uvkm,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5ubjv,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tkn3,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbfq,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5ucg4,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhj417,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uzsj,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uy7g,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uugy,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tks9,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uzuw,SOUTH_WEST
12-15,THURSDAY,8,ON_BICYCLE,u0mhj19p,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uzh3,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uyev,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uvk1,SOUTH_WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tp8w,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tm6d,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhcff,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uvun,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbhh,SOUTH_EAST
